
FOREST_NAME	WATERSHED_CODE	WATERSHED_NAME	WATERSHED_CONDITION_FS_AREA	TOTAL_WATERSHED_AREA_ACRES	FS_OWNERSHIP_PERCENT	NONFS_AREA_PERCENT	AQUATIC_BIOTA_CONDITION	RIPARIAN_WETLAND_VEG_CONDITION	WATER_QUALITY_CONDITION	WATER_QUANTITY_CONDITION	AQUATIC_HABITAT_CONDITION	ROADS_AND_TRAILS_CONDITION	SOIL_CONDITION	FIRE_EFFECTS_REGIME_CONDITION	FOREST_COVER_CONDITION	FOREST_HEALTH_CONDITION	INVASIVE_SPECIES_CONDITION	RANGELAND_VEGETATION_CONDITION	YEAR_PRIORITY_IDENTIFIED	PRINCIPAL_REASON	SELECTION_NARRATIVE	KNOWN_PARTNERS	APPROVAL_DATE	ESTIMATED_COMPLETION_DATE	ESSENTIAL_PROJECT_COUNT	ESSENTIAL_PROJECT_EST_COST	ACTUAL_COMPLETION_DATE	RESTORATION_ACTION_PLAN_IND
Rogue River-Siskiyou National Forests	180101010102	Baldface Creek	Functioning Properly	19812.7	100	0	Good	Good	Good	Good	Good	Good	Good	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Fremont-Winema National Forests	180102010602	Egan Spring-Williamson River	Functioning Properly	25476.6	58	42	Good	Good	Good	Good	Good	Poor	Good	Fair	Fair	Good	Good	----	 	 	 	 	 	 	 	 	 	 
National Forests In Mississippi	031700070503	Cypress Creek-Black Creek	Functioning at Risk	35486.5	61	39	Good	Fair	Fair	Fair	Good	Fair	Fair	Good	Good	Good	Poor	----	 	 	 	 	 	 	 	 	 	 
Chequamegon-Nicolet National Forest	040301050208	Swede John Creek-Peshtigo River	Functioning Properly	34786.7	36	64	Good	Fair	Good	Good	Poor	Fair	Fair	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Gallatin National Forest	100700020404	Yellowstone River-Mallard's Rest Campground	Functioning Properly	23989.2	19	81	Fair	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Flathead National Forest	170102110308	Middle Swan River-Porcupine Creek	Functioning Properly	16079.6	90	10	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
National Forests In Florida	031200010802	Middle Lost Creek	Functioning at Risk	16569.5	100	0	Good	Fair	Fair	Fair	Fair	Poor	Poor	Poor	Good	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190101031101	Devilfish Bay-Frontal El Capitan Passage	Functioning Properly	7897.1	92	8	Good	Fair	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Lolo National Forest	170102130301	Upper Little Thompson River	Functioning at Risk	17121.2	91	9	Poor	Poor	Good	Fair	Fair	Fair	Good	Good	Good	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Siuslaw National Forest	171003030706	Lower North Fork Smith River	Functioning at Risk	15355.7	43	57	Poor	Good	Poor	Good	Poor	Poor	Good	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Okanogan-Wenatchee National Forests	170300020203	Nile Creek	Functioning at Risk	20496.3	94	6	Fair	Good	Good	Good	Poor	Poor	Fair	Poor	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Chugach National Forest	190203021004	Johnson Creek	Functioning Properly	11032.3	94	6	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	----	 	 	 	 	 	 	 	 	 	 
Prescott National Forest	150701020503	Boulder Creek	Functioning Properly	25422.1	18	82	Good	Good	Good	Good	Good	Poor	Good	Fair	Good	Good	Good	Poor	 	 	 	 	 	 	 	 	 	 
San Juan National Forest	140801011302	Middle Beaver Creek	Functioning Properly	12476.1	43	57	Good	Good	Good	Good	Fair	Fair	Poor	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190102040301	190102040301	Functioning Properly	25649.7	96	4	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
George Washington And Jefferson National Forests	020700060701	Upper Passage Creek	Functioning at Risk	32247.9	63	37	Fair	Good	Poor	Good	Poor	Fair	Poor	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Malheur National Forest	170702030104	Clear Creek	Functioning Properly	12480.3	98	2	Good	Good	Poor	Fair	Good	Fair	Good	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Bridger-Teton National Forest	140401020201	Upper Pine Creek	Functioning Properly	15927.6	100	0	Poor	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Payette National Forest	170602080411	Fitsum Creek	Functioning at Risk	20003.9	100	0	Fair	Fair	Fair	Good	Good	Poor	Good	Poor	Poor	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Okanogan-Wenatchee National Forests	170200080606	South Fork Beaver Creek	Functioning at Risk	17535.9	99	1	Fair	Good	Good	Good	Poor	Fair	Fair	Poor	Fair	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Pike-San Isabel National Forest	101900010305	Outlet Chase Gulch	Functioning at Risk	26795.6	30	70	Poor	Fair	Good	Good	Poor	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Humboldt-Toiyabe National Forest	160503020302	Little Smith Valley	Functioning at Risk	30438.4	97	3	Fair	Poor	Fair	Fair	Poor	Fair	Fair	Fair	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
Payette National Forest	170501240802	Keithly Creek	Functioning at Risk	34260.6	13	87	Poor	Fair	Good	Good	Fair	Poor	Poor	Good	Fair	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Pike-San Isabel National Forest	110200130201	Freezeout Creek	Functioning Properly	37767.4	10	90	Poor	Good	Good	Good	Fair	Fair	Good	Fair	----	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190102021506	190102021506-Frontal Affleck Canal	Functioning Properly	14971.1	74	26	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Lewis And Clark National Forest	100302010602	South Fork Birch Creek	Functioning Properly	16424.7	100	0	Poor	Good	Good	Good	Good	Good	Good	Good	Poor	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Nebraska National Forest	101201110104	Lower Sage Creek	Functioning Properly	13906.1	47	53	Good	Fair	Good	Good	Good	Good	Good	Poor	----	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Modoc National Forest	180800010206	Granger Creek-Frontal Middle Alkali Lake	Functioning Properly	15848.6	45	55	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
San Bernardino National Forest	180702030502	Alder Creek-Santa Ana River	Functioning at Risk	18013	92	8	Fair	Fair	Poor	Poor	Fair	Poor	Fair	Fair	Good	Poor	Good	Good	 	 	 	 	 	 	 	 	 	 
Mt Baker-Snoqualmie National Forest	171100060301	Lime Creek	Functioning Properly	11241.9	100	0	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Chugach National Forest	190202011404	Glacier Island-Frontal Prince William Sound	Functioning Properly	43703.9	42	58	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Lassen National Forest	180200031103	Montgomery Creek	Functioning Properly	23204.2	6	94	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Idaho Panhandle National Forest	170102131203	East Fork Lightning Creek	Functioning Properly	13116.1	100	0	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Apache-Sitgreaves National Forest	150200080305	Gentry Canyon	Functioning Properly	15041.9	99	1	Good	Fair	Good	Good	Poor	Poor	Good	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Cleveland National Forest	180703020302	Pechanga Creek-Temecula Creek	Functioning Properly	30251.2	8	92	Good	Good	Good	Good	Good	Good	Good	Good	----	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Umpqua National Forest	171003020204	Beaver Creek	Functioning at Risk	22432.7	92	8	Fair	Good	Fair	Good	Fair	Poor	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Dakota Prairie Grasslands	101102050202	Bowline Creek	Functioning at Risk	25078.3	82	18	Fair	Fair	Good	Fair	Fair	Poor	Poor	Fair	----	Fair	Poor	Fair	 	 	 	 	 	 	 	 	 	 
Kaibab National Forest	150200160601	Dent and Sayer Tank	Functioning at Risk	37240	48	52	Fair	Poor	Fair	Fair	Good	Fair	Fair	Poor	Fair	Good	Poor	Fair	 	 	 	 	 	 	 	 	 	 
Medicine Bow-Routt National Forest	101201030501	Sage Creek-Lodgepole Creek	Functioning at Risk	41512.5	18	82	Poor	Good	Good	Fair	Poor	Fair	Good	Good	----	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Medicine Bow-Routt National Forest	140500010104	Watson Creek	Functioning at Risk	13148.3	35	65	Poor	Good	Good	Fair	Good	Fair	Fair	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Custer National Forest	100901020404	Poker Jim Creek	Functioning at Risk	12811.2	87	14	Poor	Fair	Good	Poor	Poor	Good	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	170402140402	Upper Cottonwood Creek	Functioning Properly	34378	16	84	Fair	Fair	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Carson National Forest	130201021103	Outlet El Rito	Functioning at Risk	39874.4	61	39	Fair	Fair	Good	Fair	Fair	Poor	Fair	Fair	Fair	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
National Forests In Mississippi	080302010601	Little Snow Creek-Snow Creek	Functioning at Risk	30816.1	29	71	Good	Fair	Fair	Fair	Good	Good	Fair	Good	Good	Good	Poor	----	 	 	 	 	 	 	 	 	 	 
National Forests In North Carolina	060102030405	Fontana Lake-Tuckasegee River	Functioning at Risk	18563.2	6	94	Poor	Good	Fair	Good	Poor	Poor	Fair	Poor	Good	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Lassen National Forest	180201560303	Lower Mill Creek	Functioning Properly	18951.9	17	83	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Poor	Good	 	 	 	 	 	 	 	 	 	 
Pike-San Isabel National Forest	110400020405	Winchester Mesa-Cimarron River	Functioning Properly	16564.8	55	45	Poor	Good	Good	Good	Fair	Poor	Good	Fair	----	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Hiawatha National Forest	040700020205	Black Creek	Functioning at Risk	13645	72	28	Good	Poor	Poor	Good	Poor	Fair	Fair	Fair	Good	Fair	Good	----	 	 	 	 	 	 	 	 	 	 
Humboldt-Toiyabe National Forest	160600110701	Silver Creek	Functioning at Risk	13059.9	96	4	Fair	Poor	Fair	Fair	Poor	Fair	Fair	Fair	Good	Poor	Good	Fair	 	 	 	 	 	 	 	 	 	 
National Forests In Mississippi	031601080204	Lawson Branch-Jones Creek	Functioning at Risk	10816.7	56	44	Good	Poor	Fair	Fair	Poor	Good	Fair	Good	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Shoshone National Forest	100800020301	Beaver Creek-Little Beaver Creek	Functioning Properly	30843.1	16	84	Poor	Good	Good	Good	Good	Poor	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Deschutes National Forest	170703020608	Paulina Peak South	Functioning Properly	22180.4	71	29	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Sierra National Forest	180400060102	Lower Mono Creek	Functioning at Risk	28109.4	100	0	Poor	Poor	Good	Poor	Poor	Good	Good	Fair	Good	Poor	Good	Fair	 	 	 	 	 	 	 	 	 	 
Payette National Forest	170501240404	Little Fall Creek-Middle Fork Weiser River	Functioning at Risk	16211.6	34	66	Poor	Fair	Good	Good	Fair	Poor	Poor	Poor	Poor	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Beaverhead-Deerlodge National Forest	170102010805	Pikes Peak Gulch	Functioning Properly	10189.7	58	42	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Uinta-Wasatch-Cache National Forest	160101010104	East Fork Bear River	Functioning Properly	25870.9	94	6	Fair	Good	Good	Good	Good	Poor	Good	Fair	Poor	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Salmon-Challis National Forest	170402180304	Lower North Fork Big Lost River	Functioning at Risk	20331.3	96	4	Fair	Fair	Fair	Good	Good	Poor	Good	Poor	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
Okanogan-Wenatchee National Forests	170300010401	Upper Naneum Creek	Functioning Properly	21788.5	62	38	Good	Good	Good	Good	Fair	Poor	Good	Poor	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Custer National Forest	100700061005	Willow Creek	Functioning at Risk	32362.4	7	93	Fair	Fair	Poor	Fair	Good	Fair	Fair	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Okanogan-Wenatchee National Forests	170200080202	Robinson Creek	Functioning Properly	12602	100	0	Fair	Good	Good	Good	Good	Fair	Good	Poor	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Fremont-Winema National Forests	180102010401	Upper Jack Creek	Functioning Properly	24307.2	97	3	Fair	Fair	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Santa Fe National Forest	130201011204	Rio Tesuque-Pojoaque Creek	Functioning at Risk	27838.5	21	79	Fair	Fair	Poor	Good	Good	Poor	Fair	Poor	----	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Los Padres National Forest	180600080105	Wellman Canyon-Sisquoc River	Functioning at Risk	19681.6	100	0	Fair	Fair	Fair	Fair	Fair	Good	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Payette National Forest	170502010503	Crooked River	Impaired Function	14957.7	91	9	Poor	Poor	Fair	Good	Poor	Poor	Poor	Good	Fair	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
San Juan National Forest	140801010303	Upper Rio Blanco	Functioning at Risk	16741.9	85	15	Poor	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Six Rivers National Forest	180101010307	Rock Creek	Functioning Properly	10299.7	24	76	Fair	Good	Good	Good	Poor	Fair	Good	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Cherokee National Forest	060101020602	Indian Creek-South Fork Holston River	Functioning at Risk	31580.5	19	81	Fair	Fair	Good	Good	Good	Fair	Poor	Poor	Good	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Superior National Forest	040102010802	North Branch Whiteface River	Functioning Properly	37772.1	70	31	Good	Good	Fair	Good	Fair	Good	Fair	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Custer National Forest	100902070206	Bloom Creek	Functioning at Risk	30311.1	80	20	Poor	Fair	Good	Poor	Poor	Good	Good	Fair	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Cibola National Forest	111001030202	Red Cow Draw	Functioning Properly	36916.1	19	81	Good	Fair	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Fishlake National Forest	160300020101	Boobe Hole Creek	Functioning Properly	20066.9	5	95	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Apache-Sitgreaves National Forest	150400040705	Oak Creek-Blue River	Functioning Properly	22293.3	100	0	Good	Fair	Poor	Good	Good	Good	Fair	Fair	----	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	170402050205	Hell Creek	Functioning at Risk	20855.6	5	95	Good	Fair	Poor	Good	Good	Poor	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Santa Fe National Forest	130600010104	Outlet Cow Creek	Functioning at Risk	22269.3	51	49	Good	Fair	Fair	Fair	Fair	Poor	Poor	Fair	----	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Rio Grande National Forest	130100040305	Jacks Creek	Functioning at Risk	21840.6	41	59	Poor	Fair	Good	Good	Fair	Fair	Fair	Good	Good	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Shoshone National Forest	100800130208	Rock Creek-South Fork Shoshone River	Functioning Properly	16929.7	74	26	Poor	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Sierra National Forest	180400060404	Lower Middle Fork San Joaquin River	Functioning Properly	13769.9	100	0	Poor	Fair	Good	Good	Good	Good	Good	Fair	Good	Poor	Good	Fair	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190101011905	190101011905	Functioning Properly	27666.5	100	0	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Clearwater National Forest	170603030708	Glade Creek-Lochsa River	Functioning Properly	21078	97	3	Good	Good	Fair	Good	Good	Poor	Good	Fair	Good	Good	Poor	Good	 	 	 	 	 	 	 	 	 	 
San Juan National Forest	140801070102	West Mancos River	Functioning at Risk	27377.1	82	18	Poor	Good	Good	Fair	Fair	Good	Poor	Fair	Good	Good	Fair	Poor	 	 	 	 	 	 	 	 	 	 
George Washington And Jefferson National Forests	060102050501	Rocky Fork-Guest River	Functioning at Risk	22489.9	15	85	Good	Good	Poor	Good	Fair	Fair	Poor	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
White River National Forest	140100011201	Headwaters Derby Creek	Functioning at Risk	19614	100	0	Poor	Good	Good	Poor	Good	Fair	Good	Good	Fair	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Apache-Sitgreaves National Forest	150200100204	Upper Pierce Wash	Functioning at Risk	16415.3	80	20	Fair	Fair	Good	Good	Fair	Fair	Fair	Poor	Poor	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Idaho Panhandle National Forest	170103020101	Little North Fork South Fork Coeur d'Alene River-South Fork Coeur d'Alene River	Functioning at Risk	32203.7	48	53	Poor	Good	Good	Good	Fair	Poor	Fair	Fair	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Chippewa National Forest	070101010901	Little Winnibigoshish Lake-Mississippi River	Functioning at Risk	24682.5	53	47	Fair	Fair	Fair	Poor	Poor	Fair	Fair	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Salmon-Challis National Forest	170602030404	Fenster Creek-Salmon River	Functioning at Risk	20520.6	40	60	Fair	Fair	Good	Fair	Good	Fair	Good	Poor	Good	Fair	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Chequamegon-Nicolet National Forest	040103020604	Eighteenmile Creek	Functioning at Risk	19253.7	64	36	Good	Poor	Poor	Good	Poor	Fair	Fair	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Humboldt-Toiyabe National Forest	160600071605	Lower Spring Creek	Functioning at Risk	19886.5	14	86	Fair	Poor	Fair	Fair	Poor	Fair	Fair	Fair	Good	Good	Good	Poor	 	 	 	 	 	 	 	 	 	 
Deschutes National Forest	171200050506	Pine Lake	Functioning Properly	29210.8	34	67	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Gifford Pinchot National Forest	170701050902	Lava Creek	Functioning at Risk	34528.2	98	2	Fair	Poor	Good	Good	Poor	Poor	Good	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Flathead National Forest	170102100507	Whitefish River-Haskill Creek	Functioning Properly	8218.9	41	59	Poor	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Nez Perce National Forest	170602090303	Upper Slate Creek	Functioning Properly	10658.7	100	0	Fair	Good	Good	Good	Good	Fair	Good	Fair	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Sawtooth National Forest	170402190305	Elkhorn Gulch-Big Wood River	Functioning Properly	27884.7	49	51	Fair	Good	Good	Fair	Fair	Fair	Good	Fair	Poor	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Francis Marion-Sumter National Forest	030601020303	Toxaway Creek	Functioning at Risk	13959.6	33	67	Fair	Fair	Good	Fair	Poor	Poor	Poor	Poor	Good	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Sequoia National Forest	180300020304	Bartolas Creek-South Fork Kern River	Functioning Properly	37884.6	63	37	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Poor	Good	Fair	 	 	 	 	 	 	 	 	 	 
Custer National Forest	100901020301	Tenmile Creek	Functioning at Risk	27350.9	79	21	Poor	Fair	Good	Poor	Poor	Fair	Good	Fair	Poor	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Gifford Pinchot National Forest	170701051004	Trapper Creek-Wind River	Functioning at Risk	24722.8	92	8	Fair	Good	Fair	Good	Poor	Poor	Good	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
San Juan National Forest	140801040202	Lime Creek	Functioning Properly	26417.3	96	4	Poor	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Beaverhead-Deerlodge National Forest	100200011202	Medicine Lodge Creek-Dad Creek	Functioning at Risk	21769.7	53	47	Fair	Fair	Poor	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190102032905	Plotnikof Lake	Functioning Properly	13806.4	100	0	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Daniel Boone National Forest	051301020401	Horse Lick Creek	Functioning at Risk	39469.6	44	56	Good	Fair	Good	Good	Poor	Poor	Fair	Fair	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Cibola National Forest	130202110609	Wildhorse Canyon-Alamosa Creek	Functioning at Risk	13172.1	86	14	Fair	Fair	Good	Good	Fair	Poor	Fair	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
National Forests In Alabama	031502020503	Sandy Creek-Cahaba River	Functioning Properly	46281.8	10	90	Good	Good	Good	Good	Good	Fair	Fair	Poor	Good	Fair	Good	----	 	 	 	 	 	 	 	 	 	 
Salmon-Challis National Forest	170602030302	Lake Creek	Functioning Properly	12902.8	83	17	Good	Fair	Good	Good	Good	Poor	Good	Poor	Good	Fair	Good	Fair	 	 	 	 	 	 	 	 	 	 
Tonto National Forest	150400070204	Upper Sycamore Creek	Functioning Properly	33960	19	81	Good	Fair	Good	Good	Good	Fair	Fair	Fair	----	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Daniel Boone National Forest	051001010602	Middle North Fork Triplett Creek	Functioning at Risk	24251.5	36	64	Fair	Fair	Good	Good	Fair	Poor	Fair	Fair	Fair	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Umpqua National Forest	171003010803	Deception Creek-North Umpqua River	Functioning Properly	15101.1	96	4	Fair	Good	Fair	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Wallowa Whitman National Forest	170502030207	Blue Canyon Creek-Powder River	Impaired Function	19127.8	9	91	Poor	Poor	Good	Poor	Poor	Poor	Good	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Payette National Forest	170602050801	Upper Marble Creek	Functioning Properly	26168.2	100	0	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Chequamegon-Nicolet National Forest	040301060301	Brule Creek	Functioning at Risk	25508.2	77	23	Good	Poor	Poor	Fair	Poor	Good	Fair	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Shasta Trinity National Forest	180200040204	Pilgrim Creek	Functioning Properly	22894.3	42	58	Good	Good	Good	Good	Fair	Poor	Good	Poor	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Umpqua National Forest	171003011006	Upper Cavitt Creek	Functioning Properly	14554.9	96	5	Good	Good	Fair	Good	Fair	Poor	Good	Poor	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Shasta Trinity National Forest	180102111105	Don Juan Creek-Trinity River	Functioning at Risk	21367.5	98	2	Poor	Fair	Fair	Poor	Good	Good	Fair	Good	Fair	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Wallowa Whitman National Forest	170502030703	Beagle Creek	Impaired Function	13717.8	21	79	Poor	Fair	Good	Poor	Poor	Poor	Good	Poor	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Lewis And Clark National Forest	100301040108	Biggs Creek	Functioning Properly	12127.8	100	0	Fair	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Olympic National Forest	171100170203	Lower North Fork Skokomish River	Functioning at Risk	15753.1	17	83	Good	Poor	Good	Fair	Fair	Poor	Fair	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190101031811	Liscome Bay-Frontal Pacific Ocean	Functioning Properly	8401.4	72	28	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Tongass National Forest	190104010802	Muddy Creek-Alsek River	Functioning Properly	74153.8	81	19	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Shoshone National Forest	100800120202	Eagle Creek	Functioning Properly	37000.4	100	0	Poor	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Carson National Forest	130201021201	Arroyo del Cobre	Functioning at Risk	12955.6	62	38	Fair	Fair	Good	Good	Fair	Poor	Fair	Good	Fair	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
Cibola National Forest	110901030101	Goodin Draw	Functioning Properly	12393.5	28	72	Good	Fair	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Beaverhead-Deerlodge National Forest	100200010103	Teepee Creek	Functioning Properly	15951.9	11	89	Poor	Fair	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Wallowa Whitman National Forest	170601060202	Wildcat Creek	Functioning at Risk	25755	45	55	Fair	Fair	Fair	Good	Poor	Poor	Good	Poor	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
White Mountain National Forest	010600020202	Oliveran Brook-Swift River	Functioning at Risk	19424.6	99	1	Good	Good	Poor	Good	Fair	Fair	Fair	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Angeles National Forest	180701060302	Big Dalton Wash	Functioning Properly	51620.1	13	87	Good	Good	Good	Fair	Good	Fair	Fair	Fair	Fair	Poor	Good	----	 	 	 	 	 	 	 	 	 	 
Gila National Forest	150400020501	Cherry Creek-Blue Creek	Functioning Properly	36777.8	9	91	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
